Lastnofitied,FirstNotifiedAt,SiteID,InstanceID,LTimeCluster,FTimeCluster,15minutelastcluster,15minutefirstcluster
1518557816,1505851807,3682533,23484,1518555600,1505851200,1518557400,1505851200
1518558096,1518558096,3658184,23556,1518555600,1518555600,1518557400,1518557400
1518559566,1516571341,3606470,23465,1518559200,1516568400,1518559200,1516571100
1518560056,1505851807,3682533,23484,1518559200,1505851200,1518559200,1505851200
1518561106,1518558096,3658184,23556,1518559200,1518555600,1518561000,1518557400
1518563311,1518178072,3682582,23467,1518562800,1518177600,1518562800,1518177600
1518563451,1518563451,3607246,23859,1518562800,1518562800,1518562800,1518562800
1518563521,1518563521,3607246,23858,1518562800,1518562800,1518562800,1518562800
1518563871,1516571341,3606470,23465,1518562800,1516568400,1518563700,1516571100
1518564747,1518564747,3684494,23497,1518562800,1518562800,1518564600,1518564600
1518566181,1516382381,3658226,23477,1518562800,1516381200,1518565500,1516382100
1518568001,1518558096,3658184,23556,1518566400,1518555600,1518567300,1518557400
1518570877,1518570877,3658183,23481,1518570000,1518570000,1518570000,1518570000
1518571122,1516571341,3606470,23465,1518570000,1516568400,1518570900,1516571100
1518571192,1518571192,3658166,23485,1518570000,1518570000,1518570900,1518570900
1518572312,1518572312,3685049,23468,1518570000,1518570000,1518571800,1518571800
1518577772,1518143508,3903620,23466,1518577200,1518141600,1518577200,1518143400
1518577982,1518571192,3658166,23485,1518577200,1518570000,1518577200,1518570900
1518578402,1518578402,3658167,23482,1518577200,1518577200,1518578100,1518578100
1518579872,1505851807,3682533,23484,1518577200,1505851200,1518579000,1505851200
1518581587,1518571192,3658166,23485,1518580800,1518570000,1518580800,1518570900
1518582777,1518570877,3658183,23481,1518580800,1518570000,1518582600,1518570000
1518582952,1518558096,3658184,23556,1518580800,1518555600,1518582600,1518557400
1518583022,1518578402,3658167,23482,1518580800,1518577200,1518582600,1518578100
1518583022,1518178072,3682582,23467,1518580800,1518177600,1518582600,1518177600
1518583337,1518143508,3903620,23466,1518580800,1518141600,1518582600,1518143400
1518583757,1518558096,3658184,23556,1518580800,1518555600,1518583500,1518557400
1518584247,1518578402,3658167,23482,1518580800,1518577200,1518583500,1518578100
1518584352,1518584352,3855778,23606,1518580800,1518580800,1518583500,1518583500
1518584842,1518402501,3658144,23487,1518584400,1518400800,1518584400,1518401700
1518585192,1518143508,3903620,23466,1518584400,1518141600,1518584400,1518143400
1518585682,1518571192,3658166,23485,1518584400,1518570000,1518585300,1518570900
1518585962,1516382381,3658226,23477,1518584400,1516381200,1518585300,1516382100
1518586557,1518558096,3658184,23556,1518584400,1518555600,1518586200,1518557400
1518588097,1518578402,3658167,23482,1518588000,1518577200,1518588000,1518578100
1518589712,1518558096,3658184,23556,1518588000,1518555600,1518588900,1518557400
1518591952,1518571192,3658166,23485,1518591600,1518570000,1518591600,1518570900
1518594332,1518558096,3658184,23556,1518591600,1518555600,1518594300,1518557400
1518594787,1518558096,3658184,23556,1518591600,1518555600,1518594300,1518557400
1518595872,1518595872,3606382,23633,1518595200,1518595200,1518595200,1518595200
1518596292,1518596292,3606382,23653,1518595200,1518595200,1518596100,1518596100
1518596572,1516382381,3658226,23477,1518595200,1516381200,1518596100,1516382100
1518597307,1516382381,3658226,23477,1518595200,1516381200,1518597000,1516382100
1518597412,1518558096,3658184,23556,1518595200,1518555600,1518597000,1518557400
1518598427,1518558096,3658184,23556,1518595200,1518555600,1518597900,1518557400
1518599827,1518558096,3658184,23556,1518598800,1518555600,1518599700,1518557400
1518601309,1518601309,20001,24216,1518598800,1518598800,1518600600,1518600600
1518601319,1518601319,20001,24216,1518598800,1518598800,1518600600,1518600600
1518601822,1518531270,3682592,23541,1518598800,1518530400,1518601500,1518530400
1518602382,1518602382,3607329,23818,1518598800,1518598800,1518601500,1518601500
1518603187,1518602382,3607329,23818,1518602400,1518598800,1518602400,1518601500
1518603992,1518603992,3658219,23460,1518602400,1518602400,1518603300,1518603300
1518607282,1518607282,3606470,23465,1518606000,1518606000,1518606900,1518606900
1518613412,1518613412,3855778,23569,1518613200,1518613200,1518613200,1518613200
1518613482,1516382381,3658226,23477,1518613200,1516381200,1518613200,1516382100
1518615547,1518607282,3606470,23465,1518613200,1518606000,1518615000,1518606900
1518615792,1518615792,3855778,23606,1518613200,1518613200,1518615000,1518615000
1518618102,1518425972,3607308,23511,1518616800,1518422400,1518617700,1518425100
1518618907,1518602382,3607329,23818,1518616800,1518598800,1518618600,1518601500
1518619432,1518607282,3606470,23465,1518616800,1518606000,1518618600,1518606900
1518620622,1518607282,3606470,23465,1518620400,1518606000,1518620400,1518606900
1518621637,1518607282,3606470,23465,1518620400,1518606000,1518621300,1518606900
1518623457,1518623457,3687379,23613,1518620400,1518620400,1518623100,1518623100
1518624262,1518607282,3606470,23465,1518624000,1518606000,1518624000,1518606900
1518624962,1518607282,3606470,23465,1518624000,1518606000,1518624900,1518606900
1518625137,1516382381,3658226,23477,1518624000,1516381200,1518624900,1516382100
1518625296,1518625296,20004,24219,1518624000,1518624000,1518624900,1518624900
1518625312,1518625312,3685129,23529,1518624000,1518624000,1518624900,1518624900
1518625312,1518625312,3685129,23535,1518624000,1518624000,1518624900,1518624900
1518625312,1518625312,3685129,23536,1518624000,1518624000,1518624900,1518624900
1518625319,1518625319,20004,24219,1518624000,1518624000,1518624900,1518624900
1518625347,1505989466,3685129,23519,1518624000,1505988000,1518624900,1505988900
1518631717,1518607282,3606470,23465,1518631200,1518606000,1518631200,1518606900
1518633117,1518633117,3841623,23537,1518631200,1518631200,1518633000,1518633000
1518634902,1518607282,3606470,23465,1518634800,1518606000,1518634800,1518606900
1518634937,1518634937,3606344,24035,1518634800,1518634800,1518634800,1518634800
1518635077,1518635077,3606344,23808,1518634800,1518634800,1518634800,1518634800
1518636127,1518571192,3658166,23485,1518634800,1518570000,1518635700,1518570900
1518637072,1516382381,3658226,23477,1518634800,1516381200,1518636600,1516382100
1518637423,1518637423,20002,24217,1518634800,1518634800,1518636600,1518636600
1518637434,1518637434,20002,24217,1518634800,1518634800,1518636600,1518636600
1518638682,1518607282,3606470,23465,1518638400,1518606000,1518638400,1518606900
1518639242,1516382381,3658226,23477,1518638400,1516381200,1518638400,1516382100
1518639490,1518607282,3606470,23465,1518638400,1518606000,1518639300,1518606900
1518641202,1518607282,3606470,23465,1518638400,1518606000,1518641100,1518606900
1518642673,1518607282,3606470,23465,1518642000,1518606000,1518642000,1518606900
1518643163,1518607282,3606470,23465,1518642000,1518606000,1518642900,1518606900
1518645613,1518645613,3658184,23556,1518645600,1518645600,1518645600,1518645600
1518648413,1518571192,3658166,23485,1518645600,1518570000,1518648300,1518570900
1518649748,1518645613,3658184,23556,1518649200,1518645600,1518649200,1518645600
1518650693,1518607282,3606470,23465,1518649200,1518606000,1518650100,1518606900
1518651573,1516382381,3658226,23477,1518649200,1516381200,1518651000,1516382100
1518652098,1518571192,3658166,23485,1518649200,1518570000,1518651900,1518570900
1518652693,1518645613,3658184,23556,1518649200,1518645600,1518651900,1518645600
1518652907,1518571192,3658166,23485,1518652800,1518570000,1518652800,1518570900
1518657572,1517028225,3682601,23463,1518656400,1517025600,1518657300,1517027400
1518662682,1518662682,3658193,23458,1518660000,1518660000,1518661800,1518661800
1518664467,1518178072,3682582,23467,1518663600,1518177600,1518663600,1518177600
1518665482,1518425972,3607308,23511,1518663600,1518422400,1518665400,1518425100
1518666152,1518662682,3658193,23458,1518663600,1518660000,1518665400,1518661800
1518666397,1518662682,3658193,23458,1518663600,1518660000,1518666300,1518661800
